name|grid|country|nyrs|first|last|type|lat|lon|x|y|p_ukbms
Coldwell Parrock|SD480778|England|22|2002|2023|UKBMS|54.1933|-2.7985|1.646|0.295|0.9047
Lancelot Clark Storth|SD546772|England|26|1995|2023|UKBMS|54.1885|-2.6972|0.761|-1.107|0.8971
Gait Barrows NNR (Warden's)|SD483774|England|31|1993|2023|UKBMS|54.1897|-2.7938|-0.014|0.507|0.8080
Teddy Heights|SD475792|England|21|1998|2023|UKBMS|54.2058|-2.8064|0.059|-1.474|0.9446
Burton Fell|SD545778|England|20|2002|2023|UKBMS|54.1939|-2.6989|-0.116|-0.274|0.8800
Dobshall Wood|SD450780|England|17|2006|2023|UKBMS|54.1948|-2.8445|0.008|3.882|0.5427
Witherslack Hall Woods|SD435868|England|14|2007|2023|UKBMS|54.2737|-2.8691|0.692|-1.549|0.8709
Trowbarrow Quarry - New (2010)|SD480758|England|14|2010|2023|UKBMS|54.1753|-2.7981|0.495|0.226|0.9428
Middlebarrow Wood|SD464769|England|14|2010|2023|UKBMS|54.1851|-2.8228|-0.657|-1.826|0.9351
Warton Crag LWT2|SD491731|England|8|2011|2023|UKBMS|54.1512|-2.7808|-0.882|0.492|0.7187
Ainsdale Sand Dunes NNR|SD288106|England|11|2013|2023|UKBMS|53.5871|-3.0770|0.188|-0.228|0.9461
Myers Allotment Two|SD474750|England|11|2013|2023|UKBMS|54.1681|-2.8072|-0.756|-1.333|0.8083
Hartsop Dodd|NY413115|England|10|2013|2023|UKBMS|54.4954|-2.9078|-0.221|2.332|0.1957
Smardale Gill Extension|NY734081|England|10|2014|2023|UKBMS|54.4676|-2.4119|4.242|1.212|0.6611
Halecat|SD431833|England|10|2014|2023|UKBMS|54.2422|-2.8746|0.636|-1.187|0.9697
Heysham Nature Reserve|SD406600|England|7|2015|2023|UKBMS|54.0325|-2.9084|0.348|-0.574|0.9502
Crosby Coastguard Station|SD298008|England|7|2017|2023|UKBMS|53.4992|-3.0597|-0.194|5.963|0.4783
Brockholes NR|SD587307|England|6|2017|2023|UKBMS|53.7710|-2.6281|-2.109|4.658|0.8465
Dove Stone East|SE019037|England|4|2017|2022|UKBMS|53.5300|-1.9728|3.035|3.370|0.8294
Dove Stone West|SE019047|England|4|2017|2022|UKBMS|53.5389|-1.9728|0.141|-0.257|0.8293
St Annes LNR|SD310306|England|6|2018|2023|UKBMS|53.7672|-3.0483|0.556|4.308|0.8258
Coldwell Meadows|SD348478|England|2|2019|2022|UKBMS|53.9222|-2.9943|6.781|-0.051|0.0105
Ainsdale NNR specific species|SD302112|England|5|2019|2023|UKBMS|53.5927|-3.0560|1.324|-0.656|0.8653
Cabin Hill / Ravenmeols|SD283054|England|3|2021|2023|UKBMS|53.5403|-3.0834|1.808|1.878|0.7882
Duddon Mosses National Nature Reserve|SD223851|England|3|2021|2023|UKBMS|54.2556|-3.1942|-0.675|1.877|0.7106
Heathwaite Moss|SD242876|England|3|2021|2023|UKBMS|54.2784|-3.1657|-0.982|2.619|0.8962
Warton Crag LNR (Upper)|SD493727|England|2|2022|2023|UKBMS|54.1476|-2.7777|0.339|-1.247|0.9277
Dunstable Downs|TL007201|England|20|1993|2023|UKBMS|51.8704|-0.5388|2.281|1.192|0.6748
Hill Rise|TL046510|England|18|1994|2023|UKBMS|52.1474|-0.4727|0.690|5.436|0.1651
Priory Country Park|TL075493|England|26|1993|2023|UKBMS|52.1316|-0.4309|6.082|2.216|0.7338
Sharpenhoe Clappers|TL066297|England|32|1989|2023|UKBMS|51.9556|-0.4502|2.391|-2.121|0.9531
Whipsnade Downs|TL000185|England|28|1987|2023|UKBMS|51.8561|-0.5494|3.933|0.948|0.8167
Old Warden Tunnel|TL112447|England|18|2006|2023|UKBMS|52.0895|-0.3784|10.638|1.675|0.0208
Bedford Old Cemetery|TL050512|England|7|2006|2022|UKBMS|52.1491|-0.4668|4.782|0.935|0.6603
Knocking hoe|TL131307|England|9|2013|2023|UKBMS|51.9633|-0.3553|4.298|3.847|0.8044
Ring Haw|TL053973|England|10|2014|2023|UKBMS|52.5634|-0.4480|0.981|2.243|0.9238
Mowsbury Hillfort|TL065532|England|10|2014|2023|UKBMS|52.1668|-0.4443|4.091|3.425|0.5545
Whitestones Twywell Hills & Dales|SP939775|England|7|2016|2023|UKBMS|52.3875|-0.6217|1.436|0.804|0.7489
Bucknell Woods|SP658448|England|8|2016|2023|UKBMS|52.0976|-1.0409|2.127|-2.684|0.9240
Wellingborough|SP903674|England|5|2017|2022|UKBMS|52.2973|-0.6773|1.492|5.429|0.7496
Nene Wetlands Nature Reserve|SP939679|England|5|2018|2023|UKBMS|52.3012|-0.6244|-0.104|5.836|0.7062
Salcey Forest North|SP809520|England|3|2020|2022|UKBMS|52.1604|-0.8188|-2.001|0.722|0.8762
Salcey Forest South|SP805505|England|3|2020|2022|UKBMS|52.1469|-0.8250|0.975|-2.420|0.9394
Stanwick Lakes|SP967714|England|2|2022|2023|UKBMS|52.3322|-0.5823|-2.836|5.439|0.2677
Fermyn Woods Country Park|SP954850|England|2|2022|2023|UKBMS|52.4546|-0.5975|1.330|0.402|0.8804
Old Sulehay including Stonepit Quarry|TL057979|England|2|2022|2023|UKBMS|52.5687|-0.4419|1.192|0.595|0.9570
RSPB The Lodge|TL191484|England|2|2022|2023|UKBMS|52.1211|-0.2618|-0.084|2.721|0.8446
Weldon Woodland Park|SP922891|England|2|2022|2023|UKBMS|52.4920|-0.6435|4.647|3.896|0.8580
Grendon & Doddershall Woods|SP700210|England|29|1995|2023|UKBMS|51.8832|-0.9844|-0.165|-2.763|0.9610
College Lake|SP935139|England|23|2001|2023|UKBMS|51.8159|-0.6450|1.133|-1.339|0.9151
Aston Clinton Ragpits|SP888108|England|28|1996|2023|UKBMS|51.7888|-0.7140|0.245|-0.117|0.9218
Finemere Wood|SP722216|England|29|1994|2022|UKBMS|51.8883|-0.9523|0.270|-1.170|0.9664
Coombe Hill|SP846065|England|29|1994|2023|UKBMS|51.7508|-0.7759|4.992|4.094|0.8789
Bowdown (Baynes/Bomb Site)|SU508650|England|37|1986|2023|UKBMS|51.3818|-1.2714|-0.310|-1.523|0.7799
Aston Upthorpe Downs|SU545837|England|31|1993|2023|UKBMS|51.5496|-1.2154|-0.400|-0.057|0.9211
M40 Compensation Area|SP629102|England|33|1991|2023|UKBMS|51.7869|-1.0895|1.612|1.941|0.9909
Burnham Beeches (New walk)|SU949848|England|30|1992|2023|UKBMS|51.5541|-0.6326|1.414|-2.471|0.7759
Crong|SP904088|England|22|2001|2023|UKBMS|51.7706|-0.6913|1.733|0.864|0.9059
Moor Copse Nature Reserve|SU637741|England|22|2001|2022|UKBMS|51.4623|-1.0845|1.848|-1.072|0.6791
Lardon Chase|SU587809|England|27|1997|2023|UKBMS|51.5240|-1.1553|3.642|3.552|0.9783
Dancersend|SP900095|England|23|2001|2023|UKBMS|51.7769|-0.6969|1.813|1.167|0.9785
Carrinton's New Farm|SU884900|England|21|2003|2023|UKBMS|51.6019|-0.7250|8.975|0.278|0.0723
Brush Hill, Princes Risborough|SP821034|England|18|2004|2023|UKBMS|51.7233|-0.8128|2.625|-0.241|0.7683
College Lake New 2003|SP929147|England|23|2001|2023|UKBMS|51.8232|-0.6535|2.888|3.009|0.8997
Hosehill LNR|SU649697|England|15|2005|2023|UKBMS|51.4226|-1.0680|-2.743|5.317|0.8314
Ardley Quarry|SP536273|England|21|2003|2023|UKBMS|51.9416|-1.2217|1.238|-1.609|0.9776
Hartslock|SU618795|England|21|2003|2023|UKBMS|51.5111|-1.1109|9.806|1.997|0.2691
Severn Barrows|SU329828|England|21|2003|2023|UKBMS|51.5431|-1.5270|3.144|3.503|0.8126
Decoy Heath|SU615635|England|22|2002|2023|UKBMS|51.3672|-1.1180|0.417|5.576|0.4700
Hurley|SU812821|England|22|2002|2023|UKBMS|51.5320|-0.8308|6.941|4.342|0.2421
Wildmoor Heath|SU843630|England|25|1998|2023|UKBMS|51.3598|-0.7906|2.446|-1.270|0.8829
Brill Common|SP653143|England|18|2003|2023|UKBMS|51.8235|-1.0539|0.349|3.765|0.8262
Prestwood Nature|SU866991|England|18|2006|2023|UKBMS|51.6840|-0.7488|1.593|0.719|0.7964
Holtspur Bottom Reserve|SU917904|England|17|2007|2023|UKBMS|51.6050|-0.6773|4.023|3.593|0.9191
Homefield Wood|SU812867|England|17|2007|2023|UKBMS|51.5733|-0.8297|-2.423|0.908|0.8207
Oakley Hill|SU758995|England|19|2005|2023|UKBMS|51.6891|-0.9049|2.185|1.464|0.9465
Warburg 1 (central)|SU719880|England|26|1998|2023|UKBMS|51.5863|-0.9636|1.123|0.979|0.9316
Watts Bank|SU329772|England|18|2006|2023|UKBMS|51.4928|-1.5275|9.119|0.773|0.2831
Hartslock Extension|SU620793|England|15|2008|2022|UKBMS|51.5092|-1.1080|3.669|3.315|0.8756
Moor Copse Extension|SU638737|England|15|2008|2022|UKBMS|51.4587|-1.0831|3.526|1.521|0.8725
Rushbeds Wood|SP672154|England|16|2007|2022|UKBMS|51.8332|-1.0262|-1.004|-2.356|0.9273
Sydlings Copse|SP553094|England|16|2008|2023|UKBMS|51.7805|-1.1998|-0.467|-3.412|0.8126
Greenham Common 2|SU495648|England|14|2008|2023|UKBMS|51.3801|-1.2901|0.719|4.386|0.3148
Sands Bank|SU833933|England|13|2006|2023|UKBMS|51.6324|-0.7979|0.046|5.902|0.0827
Ewelme Watercress Beds LNR|SU640917|England|15|2009|2023|UKBMS|51.6205|-1.0770|5.128|0.892|0.9324
Dancers End Extension|SP896096|England|20|2004|2023|UKBMS|51.7779|-0.7027|4.207|3.550|0.9623
Little Linford Wood|SP831453|England|15|2009|2023|UKBMS|52.0998|-0.7882|-0.656|-2.173|0.9876
Hook Norton|SP360322|England|15|2009|2023|UKBMS|51.9871|-1.4772|0.552|-3.006|0.6055
Glyme Valley|SP334260|England|15|2009|2023|UKBMS|51.9315|-1.5156|1.336|-0.104|0.9141
Paizes Wood|SU586638|England|13|2010|2023|UKBMS|51.3702|-1.1596|-0.731|-1.497|0.9533
Chilswell Valley|SP502038|England|13|2009|2023|UKBMS|51.7307|-1.2745|7.319|1.595|0.4613
Maidenhead Thicket|SU851811|England|7|2012|2022|UKBMS|51.5224|-0.7748|0.085|-3.262|0.7183
